overall_rank,div_rank,Nombre,Apellido,Categoria,tiempo oficial,tiempo neto,sexo,bib,nationality,swim,bike,run_first,run_last
200,7 / 38,Fonzo Andrea,,40-44 F,00:51:22,00:50:18,,277,,,,,
201,26 / 68,Oscar Gomez,,40-44 M,00:50:38,00:50:26,,140,,,,,
202,27 / 68,Serena Manuel Andres,,40-44 M,00:51:06,00:50:26,,489,,,,,
203,24 / 77,Ramirez Fernando,,30-34 M,00:51:47,00:50:26,,733,,,,,
204,9 / 26,Gerez Juan Bautista,,55-59 M,00:50:31,00:50:29,,484,,,,,
205,28 / 68,Abad Axel,,40-44 M,00:50:46,00:50:33,,206,,,,,
206,7 / 27,Henderson Gustavo,,50-54 M,00:50:38,00:50:34,,1343,,,,,
207,25 / 77,Romero Eduardo,,30-34 M,00:50:42,00:50:36,,1289,,,,,
208,20 / 53,Juan Carlos Benia Chiesa,,45-49 M,00:51:23,00:50:43,,70,,,,,
209,29 / 68,Fernando Marino,,40-44 M,00:51:10,00:50:45,,566,,,,,
210,3 / 35,Alvarez Laura,,30-34 F,00:51:09,00:50:46,,729,,,,,
211,26 / 77,Gabriel Kerbs,,30-34 M,00:52:36,00:50:49,,283,,,,,
212,10 / 26,Elvio Luis Rocchietti,,55-59 M,00:51:25,00:50:51,,80,,,,,
213,8 / 39,Gercovich Daniela,,35-39 F,00:51:09,00:50:52,,1109,,,,,
214,27 / 77,Andres Nomberto,,30-34 M,00:51:14,00:50:57,,433,,,,,
215,34 / 81,Andrieux Maxime,,25-29 M,00:51:56,00:51:04,,1315,,,,,
216,4 / 35,Alvarez Alejandra Ileana,,30-34 F,00:51:24,00:51:08,,1340,,,,,
217,9 / 39,Serrano Noelia,,35-39 F,00:51:30,00:51:11,,1139,,,,,
218,17 / 47,Carozzi Matias,,18-24 M,00:56:15,00:51:11,,1162,,,,,
219,31 / 70,López Sebastian,,35-39 M,00:51:34,00:51:12,,655,,,,,
220,35 / 81,Leon Ezequiel Savoy,,25-29 M,00:51:36,00:51:12,,167,,,,,
221,3 / 15,Vadone Jorge,,60-64 M,00:51:21,00:51:13,,1126,,,,,
222,28 / 77,Pablo Daniel Rivarola,,30-34 M,00:51:43,00:51:14,,35,,,,,
223,32 / 70,Sandez Hugo,,35-39 M,00:54:04,00:51:16,,1182,,,,,
224,5 / 35,Perez Aviza Judith,,30-34 F,00:52:23,00:51:28,,1166,,,,,
225,30 / 68,Calabrese Anibal Damian,,40-44 M,00:52:17,00:51:38,,1243,,,,,
226,- / 32,Unknown,,0-0 M,00:52:16,00:51:39,,1232,,,,,
227,33 / 70,Muiños Martin,,35-39 M,00:52:02,00:51:44,,1307,,,,,
228,36 / 81,Orsi Federico Antonio,,25-29 M,00:53:24,00:51:45,,22,,,,,
229,37 / 81,Pablo Sebastian Muiña,,25-29 M,00:51:48,00:51:46,,335,,,,,
230,6 / 8,Arturo De La Riestra,,1-17 M,00:52:02,00:51:46,,407,,,,,
231,10 / 39,Gismondi Ines,,35-39 F,00:52:04,00:51:46,,264,,,,,
232,29 / 77,Maino Juan Martin,,30-34 M,00:54:14,00:51:46,,494,,,,,
233,7 / 27,Vignoli Mercedes,,25-29 F,00:51:51,00:51:47,,1107,,,,,
234,30 / 77,Aguilar Francisco,,30-34 M,00:54:16,00:51:48,,496,,,,,
235,1 / 1,Rodrigo Soldan,,18-24,00:52:41,00:51:49,,0,,,,,
236,38 / 81,Amado Yamil Ezequiel,,25-29 M,00:52:14,00:51:50,,1253,,,,,
237,34 / 70,Caceres Moyano Juan Pablo,,35-39 M,00:53:22,00:51:50,,793,,,,,
238,31 / 77,Barros Lima Filho Paulo Davi,,30-34 M,00:53:23,00:51:50,,794,,,,,
239,31 / 68,Umbert Juan Jose,,40-44 M,00:53:32,00:51:53,,1322,,,,,
240,4 / 15,Piffer Eduardo,,60-64 M,00:52:14,00:51:57,,488,,,,,
241,- / 32,Unknown,,0-0 M,00:52:35,00:51:57,,1231,,,,,
242,- / 32,Unknown,,0-0 M,00:52:34,00:51:58,,102,,,,,
243,1 / 17,Della Costa Cynthia,,50-54 F,00:52:23,00:52:01,,545,,,,,
